official_name,entity_type,total_patents,total_citations,notes,raw_variants,cik,form_type,cik_source
sumitomo chemical company limited,,37,2,,sumitomo chemical company limited,,,not found
Wistron Corporation,Duplicate,37,6,Name variant,wistron corp,,,not found
yahoo assets llc,,37,1,,yahoo assets llc,,,not found
california institute of technology,,36,37,,california institute of technology,,,not found
longitude flash memory solutions ltd,,36,9,,longitude flash memory solutions ltd,,,not found
silanna asia pte ltd,,36,15,,silanna asia pte ltd,,,not found
soitec,,36,3,,soitec,,,not found
university of electronic science and technology of china,,36,18,,university of electronic science and technology of china,,,not found
vivo mobile communication co ltd,,36,0,,vivo mobile communication co ltd,,,not found
evapco inc,,35,4,,evapco inc,,,not found
gree electric appliances inc of zhuhai,,35,3,,gree electric appliances inc of zhuhai,,,not found
ibiden co ltd,,35,4,,ibiden co ltd,,,not found
littelfuse inc,,35,7,,littelfuse inc,,,not found
nami mos co ltd,,35,3,,nami mos co ltd,,,not found
ampere computing llc,,34,4,,ampere computing llc,,,not found
asustek computer inc,,34,4,,asustek computer inc,,,not found
hill phoenix inc,,34,12,,hill phoenix inc,,,not found
peking university,,34,1,,peking university,,,not found
shenzhen sensetime technology co ltd,,34,4,,shenzhen sensetime technology co ltd,,,not found
sien qingdao integrated circuits co ltd,,34,7,,sien qingdao integrated circuits co ltd,,,not found
united semiconductor xiamen co ltd,,34,10,,united semiconductor xiamen co ltd,,,not found
ventana micro systems inc,,34,6,,ventana micro systems inc,,,not found
cornell university,,33,37,,cornell university,,,not found
eagle technology llc,,33,7,,eagle technology llc,,,not found
innogrit technologies co ltd,,33,20,,innogrit technologies co ltd,,,not found
invention and collaboration laboratory inc,,33,3,,invention and collaboration laboratory inc,,,not found
lair liquide societe anonyme pour letude et lexploitation des procedes georges claude,,33,1,,lair liquide societe anonyme pour letude et lexploitation des procedes georges claude,,,not found
mythic inc,,33,40,,mythic inc,,,not found
national institute of advanced industrial science and technology,,33,8,,national institute of advanced industrial science and technology,,,not found
phoenix pioneer technology co ltd,,33,2,,phoenix pioneer technology co ltd,,,not found
purple cloud development pte ltd,,33,0,,purple cloud development pte ltd,,,not found
SJ Semiconductor (Jiangyin) Corporation,Duplicate,33,0,Name variant,sj semiconductorjiangyin corporation,,,not found
sk hynix nand product solutions corp dba solidigm,,33,0,,sk hynix nand product solutions corp dba solidigm,,,not found
the hong kong university of science and technology,,33,0,,the hong kong university of science and technology,,,not found
ajou university industryacademic cooperation foundation,,32,2,,ajou university industryacademic cooperation foundation,,,not found
baltimore aircoil company inc,,32,33,,baltimore aircoil company inc,,,not found
carnegie mellon university,,32,3,,carnegie mellon university,,,not found
chatsworth products inc,,32,470,,chatsworth products inc,,,not found
georgia tech research corporation,,32,0,,georgia tech research corporation,,,not found
gyrfalcon technology inc,,32,25,,gyrfalcon technology inc,,,not found
hyundai mobis co ltd,,32,1,,hyundai mobis co ltd,,,not found
panjit international inc,,32,0,,panjit international inc,,,not found
qromis inc,,32,33,,qromis inc,,,not found
taiwan microloops corp,,32,3,,taiwan microloops corp,,,not found
thales,,32,0,,thales,,,not found
the governing council of the university of toronto,,32,25,,the governing council of the university of toronto,,,not found
the research foundation for the state university of new york,,32,9,,the research foundation for the state university of new york,,,not found
xfusion digital technologies co ltd,,32,0,,xfusion digital technologies co ltd,,,not found
core scientific inc,,31,33,,core scientific inc,,,not found
king fahd university of petroleum and minerals,,31,17,,king fahd university of petroleum and minerals,,,not found
ningbo semiconductor international corporation,,31,13,,ningbo semiconductor international corporation,,,not found
shanghai huali microelectronics corporation,,31,0,,shanghai huali microelectronics corporation,,,not found
ulvac inc,,31,2,,ulvac inc,,,not found
virginia tech intellectual properties inc,,31,37,,virginia tech intellectual properties inc,,,not found
wisconsin alumni research foundation,,31,1,,wisconsin alumni research foundation,,,not found
beneq oy,,30,0,,beneq oy,,,not found
chipbond technology corporation,,30,5,,chipbond technology corporation,,,not found
dexerials corporation,,30,5,,dexerials corporation,,,not found
equal1labs inc,,30,8,,equal1labs inc,,,not found
genesic semiconductor inc,,30,27,,genesic semiconductor inc,,,not found
here global bv,,30,2,,here global bv,,,not found
iucfhyu industryuniversity cooperation foundation hanyang university,,30,0,,iucfhyu industryuniversity cooperation foundation hanyang university,,,not found
laird technologies inc,,30,32,,laird technologies inc,,,not found
president and fellows of harvard college,,30,6,,president and fellows of harvard college,,,not found
rensselaer polytechnic institute,,30,5,,rensselaer polytechnic institute,,,not found
sj semiconductor jiangyin corporation,,30,8,,sj semiconductor jiangyin corporation,,,not found
tong hsing electronic industries ltd,,30,0,,tong hsing electronic industries ltd,,,not found
hangzhou sanhua research institute co ltd,,29,1,,hangzhou sanhua research institute co ltd,,,not found
Invention and Collaboration Laboratory,Subsidiary,29,8,Singapore entity,invention and collaboration laboratory pte ltd,,,not found
lawrence livermore national security llc,,29,5,,lawrence livermore national security llc,,,not found
lx semicon co ltd,,29,0,,lx semicon co ltd,,,not found
mitsubishi chemical corporation,,29,13,,mitsubishi chemical corporation,,,not found
nissan motor co ltd,,29,4,,nissan motor co ltd,,,not found
screen holdings co ltd,,29,3,,screen holdings co ltd,,,not found
valeo systemes thermiques,,29,0,,valeo systemes thermiques,,,not found
xian jiaotong university,,29,2,,xian jiaotong university,,,not found
xintec inc,,29,4,,xintec inc,,,not found
yibu semiconductor co ltd,,29,0,,yibu semiconductor co ltd,,,not found
beijing superstring academy of memory technology,,28,0,,beijing superstring academy of memory technology,,,not found
bitmain technologies inc,,28,0,,bitmain technologies inc,,,not found
Copeland LP,Parent,28,0,Spun off from Emerson Electric Feb 2023,copeland lp,,,not found
fujikura ltd,,28,5,,fujikura ltd,,,not found
fujimi incorporated,,28,2,,fujimi incorporated,,,not found
industryacademic cooperation foundation yonsei university,,28,7,,industryacademic cooperation foundation yonsei university,,,not found
jcet group co ltd,,28,0,,jcet group co ltd,,,not found
nepes co ltd,,28,8,,nepes co ltd,,,not found
next silicon ltd,,28,1,,next silicon ltd,,,not found
